bank_name,sub_category,presence_score,normalized_maturity_score,strategic_score,final_score,final_score_rounded
ally_financial_inc,Data,2,2.502,3.580235915161066,2.516847183032213,2.52
american_express_company,Data,4,4.218,4.668403319789265,4.220880663957853,4.22
ameriprise_financial_inc,Data,2,3.953,1.0,2.5812,2.58
associated_banc-corp,Data,2,2.274,1.124617679295347,1.9345235358590696,1.93
bank_of_america_corp,Data,3,2.186,4.918069434271059,3.058013886854212,3.06
"bank_of_new_york_mellon,_the",Data,1,2.438,1.5787851530770585,1.6909570306154116,1.69
bok_financial_corporation,Data,1,2.375,1.3177378525868326,1.6135475705173667,1.61
capital_one_financial_corporation,Data,4,1.934,2.5726303438019076,2.8881260687603816,2.89
"charles_schwab_corporation,_the",Data,3,2.022,2.73620469466929,2.556040938933858,2.56
citigroup_inc,Data,2,2.83,2.177945059803166,2.3675890119606335,2.37
"citizens_financial_group,_inc",Data,2,2.729,2.3124403030321306,2.3540880606064265,2.35
"columbia_banking_system,_inc",Data,2,1.845,1.5662007464114691,1.8512401492822939,1.85
comerica_incorporated,Data,3,4.293,2.706097296122265,3.4584194592244533,3.46
cullen_frost,Data,1,1.946,1.6291945644198242,1.5042389128839648,1.5
discover_financial_services,Data,3,1.328,3.377054592389065,2.4066109184778135,2.41
"east_west_bancorp,_inc",Data,1,2.413,2.2894777005296247,1.823095540105925,1.82
f.n.b._corporation,Data,3,2.716,2.4594009590481702,2.7782801918096345,2.78
fifth_third_bancorp,Data,1,2.502,1.544421351425052,1.7096842702850101,1.71
"first_citizens_bancshares,_inc",Data,3,1.795,1.7344387943261896,2.264887758865238,2.26
first_horizon_corporation,Data,2,3.372,2.9144687126422815,2.7316937425284564,2.73
"flagstar_financial,_inc",Data,2,2.388,1.9833096671628756,2.151861933432575,2.15
"goldman_sachs_group,_inc.,_the",Data,5,5.0,5.0,5.0,5.0
hsbc_north_america_holdings_inc,Data,2,2.489,2.963448905783511,2.3882897811567023,2.39
huntington_bancshares_incorporated,Data,2,2.174,2.969920533869195,2.263584106773839,2.26
john_deere_capital_corporation,Data,5,1.972,2.0558102574641217,3.1999620514928244,3.2
jpmorgan_chase_&_co,Data,3,2.603,4.749290938927125,3.191058187785425,3.19
keycorp,Data,3,1.568,5.0,2.8272000000000004,2.83
m&t_bank_corporation,Data,1,2.06,1.5160972482452166,1.5272194496490434,1.53
morgan_stanley,Data,2,1.265,1.7862815327492148,1.663256306549843,1.66
northern_trust_corporation,Data,3,2.211,1.0230226354502252,2.289004527090045,2.29
old_national_bancorp,Data,3,1.883,2.4639934795486713,2.4459986959097346,2.45
"pinnacle_financial_partners,_inc",Data,2,2.539,2.2464986407513488,2.2648997281502696,2.26
"pnc_financial_services_group,_inc.,_the",Data,3,3.183,1.0309030580020178,2.6793806116004037,2.68
"popular,_inc",Data,2,2.842,3.099073457332271,2.5566146914664545,2.56
"prosperity_bancshares,_inc",Data,2,2.224,2.8845570235642692,2.266511404712854,2.27
"raymond_james_financial,_inc",Data,4,1.694,2.084287350620438,2.6944574701240875,2.69
regions_financial_corporation,Data,2,1.0,2.13917702960413,1.6278354059208262,1.63
"santander_holdings_usa,_inc",Data,2,4.281,1.875250361268729,2.887450072253746,2.89
southstate_corporation,Data,2,2.249,1.7974789825628834,2.059095796512577,2.06
state_street_corporation,Data,4,3.65,5.0,4.0600000000000005,4.06
synchrony_financial,Data,3,1.669,2.00377458307739,2.268354916615478,2.27
synovus_financial_corp,Data,2,1.972,1.7787894208738873,1.9445578841747775,1.94
truist_financial_corporation,Data,3,3.12,2.004741429498548,2.84894828589971,2.85
u.s._bancorp,Data,3,3.057,2.8021390630670586,2.9832278126134124,2.98
umb_financial_corporation,Data,2,1.845,2.074046738869749,1.9528093477739499,1.95
valley_national_bancorp,Data,2,2.186,1.8601620804086945,2.046432416081739,2.05
webster_financial_corporation,Data,2,3.347,2.126060512720122,2.5640121025440243,2.56
wells_fargo_&_company,Data,1,4.836,3.637173716494896,3.0618347432989794,3.06
western_alliance_bancorporation,Data,1,2.64,1.7318367367060508,1.80236734734121,1.8
wintrust_financial_corporation,Data,3,1.845,1.3580754577471188,2.209615091549424,2.21
ally_financial_inc,Analytics,3,2.502,4.05365794327442,3.011531588654884,3.01
american_express_company,Analytics,2,4.218,3.10306018659078,3.107812037318156,3.11
ameriprise_financial_inc,Analytics,1,3.953,1.144939114062776,2.210187822812555,2.21
associated_banc-corp,Analytics,3,2.274,2.413784747835066,2.5923569495670136,2.59
bank_of_america_corp,Analytics,4,2.186,5.0,3.4744,3.47
"bank_of_new_york_mellon,_the",Analytics,2,2.438,2.5742493260602,2.29004986521204,2.29
bok_financial_corporation,Analytics,2,2.375,2.109125418649363,2.1718250837298725,2.17
capital_one_financial_corporation,Analytics,4,1.934,3.604812930049475,3.094562586009895,3.09
"charles_schwab_corporation,_the",Analytics,2,2.022,1.9313233427761691,1.9950646685552338,2.0
citigroup_inc,Analytics,4,2.83,2.034517523371659,3.138903504674332,3.14
"citizens_financial_group,_inc",Analytics,3,2.729,3.0982927814024506,2.9112585562804902,2.91
"columbia_banking_system,_inc",Analytics,2,1.845,1.9373731076736285,1.9254746215347258,1.93
comerica_incorporated,Analytics,3,4.293,3.0168514040776597,3.5205702808155324,3.52
cullen_frost,Analytics,3,1.946,3.0130409189628504,2.5810081837925702,2.58
discover_financial_services,Analytics,5,1.328,2.982793581067567,3.1277587162135134,3.13
"east_west_bancorp,_inc",Analytics,3,2.413,3.2148552944983058,2.8081710588996613,2.81
f.n.b._corporation,Analytics,3,2.716,2.5616012700465864,2.798720254009318,2.8
fifth_third_bancorp,Analytics,2,2.502,1.7783774281013196,2.156475485620264,2.16
"first_citizens_bancshares,_inc",Analytics,3,1.795,2.043030973488409,2.326606194697682,2.33
first_horizon_corporation,Analytics,3,3.372,3.29057063285336,3.206914126570672,3.21
"flagstar_financial,_inc",Analytics,2,2.388,2.198424451456522,2.1948848902913047,2.19
"goldman_sachs_group,_inc.,_the",Analytics,5,5.0,3.7270252166351066,4.745405043327022,4.75
hsbc_north_america_holdings_inc,Analytics,5,2.489,4.8660770757270715,3.9688154151454142,3.97
huntington_bancshares_incorporated,Analytics,3,2.174,3.4428615994929324,2.758172319898587,2.76
john_deere_capital_corporation,Analytics,3,1.972,1.4568357374441083,2.280167147488822,2.28
jpmorgan_chase_&_co,Analytics,4,2.603,4.9346637232560315,3.628132744651207,3.63
keycorp,Analytics,3,1.568,5.0,2.8272000000000004,2.83
m&t_bank_corporation,Analytics,2,2.06,2.89091846583049,2.202183693166098,2.2
morgan_stanley,Analytics,2,1.265,1.8458161600961311,1.6751632320192262,1.68
northern_trust_corporation,Analytics,1,2.211,1.0546612843605505,1.4953322568721101,1.5
old_national_bancorp,Analytics,3,1.883,2.729405176962301,2.4990810353924604,2.5
"pinnacle_financial_partners,_inc",Analytics,2,2.539,2.3275841270035844,2.281116825400717,2.28
"pnc_financial_services_group,_inc.,_the",Analytics,2,3.183,1.0,2.2732,2.27
"popular,_inc",Analytics,3,2.842,3.2722676688535652,2.9912535337707133,2.99
"prosperity_bancshares,_inc",Analytics,5,2.224,4.912437950133336,3.8720875900266676,3.87
"raymond_james_financial,_inc",Analytics,3,1.694,2.0948068646716864,2.2965613729343373,2.3
regions_financial_corporation,Analytics,3,1.0,2.552477224122282,2.1104954448244566,2.11
"santander_holdings_usa,_inc",Analytics,2,4.281,2.509951208580082,3.0143902417160167,3.01
southstate_corporation,Analytics,2,2.249,2.167763802248123,2.133152760449625,2.13
state_street_corporation,Analytics,3,3.65,4.1831353059645995,3.49662706119292,3.5
synchrony_financial,Analytics,3,1.669,2.1432035771162323,2.296240715423247,2.3
synovus_financial_corp,Analytics,2,1.972,1.8244725655731575,1.9536945131146315,1.95
truist_financial_corporation,Analytics,3,3.12,2.164555210657859,2.8809110421315722,2.88
u.s._bancorp,Analytics,4,3.057,3.90519276214007,3.603838552428014,3.6
umb_financial_corporation,Analytics,2,1.845,1.9052394375458075,1.9190478875091617,1.92
valley_national_bancorp,Analytics,2,2.186,1.804603619399044,2.035320723879809,2.04
webster_financial_corporation,Analytics,2,3.347,2.954794836811629,2.7297589673623257,2.73
wells_fargo_&_company,Analytics,4,4.836,5.0,4.5344,4.53
western_alliance_bancorporation,Analytics,2,2.64,1.8325357012818368,2.2225071402563676,2.22
wintrust_financial_corporation,Analytics,1,1.845,1.3126922780328154,1.400538455606563,1.4
ally_financial_inc,Technology,2,2.502,4.108413576837774,2.6224827153675547,2.62
american_express_company,Technology,3,4.218,4.8960209490962505,3.8664041898192503,3.87
ameriprise_financial_inc,Technology,2,3.953,1.1168806284728876,2.604576125694577,2.6
associated_banc-corp,Technology,1,2.274,1.1875861938453751,1.5471172387690753,1.55
bank_of_america_corp,Technology,2,2.186,4.535822785877919,2.581564557175584,2.58
"bank_of_new_york_mellon,_the",Technology,1,2.438,1.7114876352278152,1.717497527045563,1.72
bok_financial_corporation,Technology,1,2.375,1.0684436112679072,1.5636887222535816,1.56
capital_one_financial_corporation,Technology,3,1.934,3.394281965080969,2.652456393016194,2.65
"charles_schwab_corporation,_the",Technology,2,2.022,2.415849431273842,2.0919698862547684,2.09
citigroup_inc,Technology,2,2.83,2.533136892401119,2.438627378480224,2.44
"citizens_financial_group,_inc",Technology,2,2.729,3.357092674203232,2.563018534840647,2.56
"columbia_banking_system,_inc",Technology,1,1.845,1.567260650188414,1.4514521300376828,1.45
comerica_incorporated,Technology,2,4.293,3.198135019480105,3.156827003896021,3.16
cullen_frost,Technology,1,1.946,1.7132103655794566,1.5210420731158911,1.52
discover_financial_services,Technology,2,1.328,1.9791999318728577,1.7270399863745716,1.73
"east_west_bancorp,_inc",Technology,5,2.413,5.0,3.9652,3.97
f.n.b._corporation,Technology,1,2.716,2.175039918247429,1.921407983649486,1.92
fifth_third_bancorp,Technology,2,2.502,1.424350389861024,2.0856700779722046,2.09
"first_citizens_bancshares,_inc",Technology,1,1.795,1.7691033947660375,1.4718206789532073,1.47
first_horizon_corporation,Technology,4,3.372,5.0,3.9488000000000003,3.95
"flagstar_financial,_inc",Technology,2,2.388,2.9739839475421004,2.3499967895084204,2.35
"goldman_sachs_group,_inc.,_the",Technology,3,5.0,3.092354857252347,3.81847097145047,3.82
hsbc_north_america_holdings_inc,Technology,2,2.489,2.981502584461409,2.391900516892282,2.39
huntington_bancshares_incorporated,Technology,1,2.174,2.677724021204573,1.8051448042409146,1.81
john_deere_capital_corporation,Technology,3,1.972,2.6038619573779567,2.509572391475592,2.51
jpmorgan_chase_&_co,Technology,2,2.603,5.0,2.8412,2.84
keycorp,Technology,2,1.568,4.752106705874532,2.3776213411749065,2.38
m&t_bank_corporation,Technology,1,2.06,1.2467479934427623,1.4733495986885528,1.47
morgan_stanley,Technology,2,1.265,1.2370770194556442,1.553415403891129,1.55
northern_trust_corporation,Technology,2,2.211,1.0,1.8844,1.88
old_national_bancorp,Technology,1,1.883,2.083873028038577,1.5699746056077153,1.57
"pinnacle_financial_partners,_inc",Technology,1,2.539,2.2965957718592325,1.8749191543718464,1.87
"pnc_financial_services_group,_inc.,_the",Technology,2,3.183,1.0703448226920156,2.287268964538403,2.29
"popular,_inc",Technology,1,2.842,1.7054580789970712,1.877891615799414,1.88
"prosperity_bancshares,_inc",Technology,1,2.224,2.384386110578868,1.7664772221157736,1.77
"raymond_james_financial,_inc",Technology,2,1.694,2.586342114745228,1.9948684229490456,1.99
regions_financial_corporation,Technology,1,1.0,1.9052031651942776,1.1810406330388556,1.18
"santander_holdings_usa,_inc",Technology,2,4.281,4.889787315577697,3.4903574631155396,3.49
southstate_corporation,Technology,2,2.249,1.6275981572348526,2.025119631446971,2.03
state_street_corporation,Technology,2,3.65,4.85117995326703,3.230235990653406,3.23
synchrony_financial,Technology,3,1.669,2.9059744590447183,2.448794891808944,2.45
synovus_financial_corp,Technology,3,1.972,4.296742090380718,2.848148418076144,2.85
truist_financial_corporation,Technology,2,3.12,1.6615284550302207,2.3803056910060443,2.38
u.s._bancorp,Technology,1,3.057,2.256077153988631,2.0740154307977265,2.07
umb_financial_corporation,Technology,1,1.845,1.8610206297502712,1.5102041259500543,1.51
valley_national_bancorp,Technology,2,2.186,1.0434128048613582,1.8830825609722717,1.88
webster_financial_corporation,Technology,1,3.347,1.5945666752751235,2.0577133350550247,2.06
wells_fargo_&_company,Technology,1,4.836,2.8647772997265237,2.907355459945305,2.91
western_alliance_bancorporation,Technology,1,2.64,1.5064827233825129,1.7572965446765025,1.76
wintrust_financial_corporation,Technology,2,1.845,1.2909581602410178,1.7961916320482036,1.8
ally_financial_inc,Analog,3,2.502,4.7072236889438,3.14224473778876,3.14
american_express_company,Analog,3,4.218,3.442201516297389,3.575640303259478,3.58
ameriprise_financial_inc,Analog,3,3.953,1.2386364833241332,3.028927296664827,3.03
associated_banc-corp,Analog,3,2.274,2.528260073122567,2.615252014624514,2.62
bank_of_america_corp,Analog,4,2.186,5.0,3.4744,3.47
"bank_of_new_york_mellon,_the",Analog,2,2.438,2.6099559827964978,2.2971911965592997,2.3
bok_financial_corporation,Analog,3,2.375,2.7369884354602645,2.697397687092053,2.7
capital_one_financial_corporation,Analog,3,1.934,2.8336832451077907,2.540336649021558,2.54
"charles_schwab_corporation,_the",Analog,3,2.022,2.558724787895061,2.520544957579012,2.52
citigroup_inc,Analog,3,2.83,2.055978879495646,2.7431957758991294,2.74
"citizens_financial_group,_inc",Analog,3,2.729,3.0958585025419465,2.9107717005083895,2.91
"columbia_banking_system,_inc",Analog,1,1.845,1.5629356332909796,1.4505871266581958,1.45
comerica_incorporated,Analog,3,4.293,3.165831873053584,3.550366374610717,3.55
cullen_frost,Analog,2,1.946,2.355314230798716,2.0494628461597433,2.05
discover_financial_services,Analog,4,1.328,1.8217390725782472,2.4955478145156498,2.5
"east_west_bancorp,_inc",Analog,3,2.413,3.152887159084319,2.795777431816864,2.8
f.n.b._corporation,Analog,4,2.716,3.5079330761659104,3.387986615233182,3.39
fifth_third_bancorp,Analog,2,2.502,1.6918055254516018,2.13916110509032,2.14
"first_citizens_bancshares,_inc",Analog,4,1.795,2.686489114771706,2.8552978229543413,2.86
first_horizon_corporation,Analog,2,3.372,2.9335155702222027,2.7355031140444406,2.74
"flagstar_financial,_inc",Analog,1,2.388,1.7779106580468498,1.7107821316093699,1.71
"goldman_sachs_group,_inc.,_the",Analog,5,5.0,4.0445190572872844,4.808903811457457,4.81
hsbc_north_america_holdings_inc,Analog,4,2.489,4.384948058004893,3.472589611600979,3.47
huntington_bancshares_incorporated,Analog,3,2.174,3.3285933332256237,2.7353186666451252,2.74
john_deere_capital_corporation,Analog,3,1.972,1.3067552018343265,2.2501510403668656,2.25
jpmorgan_chase_&_co,Analog,4,2.603,4.814263528755651,3.6040527057511307,3.6
keycorp,Analog,3,1.568,5.0,2.8272000000000004,2.83
m&t_bank_corporation,Analog,1,2.06,2.497075587616437,1.7234151175232877,1.72
morgan_stanley,Analog,3,1.265,2.1534006769081837,2.1366801353816367,2.14
northern_trust_corporation,Analog,2,2.211,1.0,1.8844,1.88
old_national_bancorp,Analog,3,1.883,2.5758405763655334,2.468368115273107,2.47
"pinnacle_financial_partners,_inc",Analog,2,2.539,2.5623151142223852,2.328063022844477,2.33
"pnc_financial_services_group,_inc.,_the",Analog,2,3.183,1.0441932534910705,2.282038650698214,2.28
"popular,_inc",Analog,1,2.842,2.410619405308782,2.0189238810617565,2.02
"prosperity_bancshares,_inc",Analog,2,2.224,2.8659852258382483,2.26279704516765,2.26
"raymond_james_financial,_inc",Analog,3,1.694,2.041242195091012,2.285848439018203,2.29
regions_financial_corporation,Analog,3,1.0,2.3623445495923683,2.0724689099184737,2.07
"santander_holdings_usa,_inc",Analog,3,4.281,2.6679637907801355,3.4459927581560272,3.45
southstate_corporation,Analog,2,2.249,2.0649663254201376,2.112593265084028,2.11
state_street_corporation,Analog,4,3.65,5.0,4.0600000000000005,4.06
synchrony_financial,Analog,4,1.669,1.9390554462254563,2.6554110892450917,2.66
synovus_financial_corp,Analog,3,1.972,2.352502103281255,2.4593004206562514,2.46
truist_financial_corporation,Analog,3,3.12,2.464940335187737,2.940988067037548,2.94
u.s._bancorp,Analog,3,3.057,3.615931345686714,3.1459862691373432,3.15
umb_financial_corporation,Analog,2,1.845,1.935436810274957,1.9250873620549915,1.93
valley_national_bancorp,Analog,2,2.186,1.696253799888313,2.0136507599776627,2.01
webster_financial_corporation,Analog,2,3.347,2.7766814093525585,2.6941362818705117,2.69
wells_fargo_&_company,Analog,3,4.836,4.311148919192835,3.9966297838385674,4.0
western_alliance_bancorporation,Analog,2,2.64,1.649763153865743,2.1859526307731487,2.19
wintrust_financial_corporation,Analog,2,1.845,1.3420109486736058,1.806402189734721,1.81
